,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,Game,Home,MP,ORB,PF,PTS,STL,TOV,TP,TPA,TPP,TRB,Team,Win,X,Y,Year
152,18,10,42,35,78,0.449,23,37,0.622,6,0,240,14,23,95,9,19,2,18,0.111,56,Heat,1,153,,2006
153,18,5,30,34,75,0.45299999999999996,11,16,0.688,1,1,240,13,15,85,6,14,6,16,0.375,43,Spurs,1,154,,2007
154,21,6,34,37,77,0.48100000000000004,21,26,0.8079999999999999,2,1,240,12,23,103,6,10,8,24,0.33299999999999996,46,Spurs,1,155,,2007
155,15,2,34,28,68,0.41200000000000003,9,16,0.563,3,0,240,7,15,75,7,14,10,19,0.526,41,Spurs,1,156,,2007
156,13,2,34,29,68,0.426,20,34,0.588,4,0,240,11,19,83,5,14,5,19,0.263,45,Spurs,1,157,,2007
157,20,3,36,32,76,0.42100000000000004,28,35,0.8,1,1,240,10,22,98,6,13,6,19,0.316,46,Celtics,1,158,,2008
158,31,3,27,36,68,0.529,27,38,0.711,2,1,240,10,21,108,7,15,9,14,0.643,37,Celtics,1,159,,2008
159,19,8,31,29,83,0.349,15,22,0.682,3,0,240,14,28,81,8,13,8,18,0.444,45,Celtics,0,160,,2008
160,15,4,34,33,73,0.452,23,28,0.821,4,0,240,6,24,97,7,11,8,22,0.364,40,Celtics,1,161,,2008
161,20,2,26,33,77,0.429,24,31,0.774,5,0,240,11,28,98,6,18,8,22,0.364,37,Celtics,0,162,,2008
162,33,4,34,43,87,0.494,32,37,0.865,6,1,240,14,25,131,18,7,13,26,0.5,48,Celtics,1,163,,2008
163,18,7,40,41,89,0.461,15,18,0.833,1,1,240,15,23,100,4,8,3,9,0.33299999999999996,55,Lakers,1,164,,2009
164,20,6,31,36,78,0.462,24,28,0.857,2,1,265,4,25,101,12,12,5,15,0.33299999999999996,35,Lakers,1,165,,2009
165,16,3,16,40,78,0.513,16,26,0.615,3,0,240,11,25,104,6,13,8,23,0.348,27,Lakers,0,166,,2009
166,15,2,29,38,91,0.418,15,20,0.75,4,0,265,10,28,99,8,7,8,23,0.348,39,Lakers,1,167,,2009
167,13,8,34,35,80,0.43799999999999994,21,28,0.75,5,0,240,13,20,99,6,10,8,16,0.5,47,Lakers,1,168,,2009
168,18,7,30,37,76,0.48700000000000004,24,31,0.774,1,1,240,12,26,102,6,12,4,10,0.4,42,Lakers,1,169,,2010
169,18,14,29,29,71,0.408,31,41,0.7559999999999999,2,1,240,10,29,94,8,15,5,22,0.22699999999999998,39,Lakers,0,170,,2010
170,13,7,32,34,76,0.447,21,24,0.875,3,0,240,11,20,91,2,8,2,15,0.133,43,Lakers,1,171,,2010
